date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:30	118120/118120	---M--	200	added ('OK')	image/jpeg	etag:%22f8df78dd74daa3ac6cef8cfe2af20556%22	http://www.themenate.net/espire/html/dist/assets/images/others/img-27.jpg	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/images/others/img-27.jpg	(from http://www.themenate.net/espire/html/dist/gallery.html)
11:02:37	97775/97775	---M--	200	added ('OK')	text/javascript	etag:%2226e503b8447ef3dcb939d0afc48c142c%22	http://www.themenate.net/espire/html/dist/assets/vendors/photoswipe/dist/photoswipe.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/photoswipe/dist/photoswipe.js	(from http://www.themenate.net/espire/html/dist/gallery.html)
11:02:41	16709/16709	---M--	200	added ('OK')	image/png	etag:%22598017a9e3af3bcf5846f35d58d522e3%22	http://www.themenate.net/espire/html/dist/assets/images/others/404.png	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/images/others/404.png	(from http://www.themenate.net/espire/html/dist/404.html)
11:02:56	161749/161749	---M--	200	added ('OK')	image/jpeg	etag:%2237128c258c6168ac4a72019358a04fdb%22	http://www.themenate.net/espire/html/dist/assets/images/others/img-30.jpg	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/images/others/img-30.jpg	(from http://www.themenate.net/espire/html/dist/sign-in2.html)
11:03:01	16574/16574	---M--	200	added ('OK')	application/octet-stream	etag:%22372a2830643e759ed61f6a8590900192%22	http://www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/font/summernote.eot?0d0d5fac99cc8774d89eb08b1a8323c4	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/font/summernote291f.eot	(from http://www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/summernote.css)
11:03:01	207004/207004	---M--	200	added ('OK')	image/jpeg	etag:%22fe7696b70c9e204fb9f55645448368fb%22	http://www.themenate.net/espire/html/dist/assets/images/others/img-29.jpg	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/images/others/img-29.jpg	(from http://www.themenate.net/espire/html/dist/sign-in.html)
11:03:04	16574/16574	---M--	200	added ('OK')	application/octet-stream	etag:%22372a2830643e759ed61f6a8590900192%22	http://www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/font/summernote.eot?	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/font/summernoted41d.eot	(from http://www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/summernote.css)
11:03:05	217703/217703	---M--	200	added ('OK')	image/jpeg	etag:%222f94cf0b5bab891146eab6189420e67c%22	http://www.themenate.net/espire/html/dist/assets/images/others/img-31.jpg	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/images/others/img-31.jpg	(from http://www.themenate.net/espire/html/dist/sign-up.html)
11:03:05	10196/10196	---M--	200	added ('OK')	application/font-woff	etag:%22608fd10666a860567740497e84492928%22	http://www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/font/summernote.woff?0d0d5fac99cc8774d89eb08b1a8323c4	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/font/summernote291f.woff	(from http://www.themenate.net/espire/html/dist/assets/vendors/summernote/dist/summernote.css)
11:03:06	170561/170561	---M--	200	added ('OK')	image/jpeg	etag:%22f6f35ca4af6bc5933dcbbb14ab99d4b8%22	http://www.themenate.net/espire/html/dist/assets/images/others/img-32.jpg	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/images/others/img-32.jpg	(from http://www.themenate.net/espire/html/dist/500.html)
